,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ludvika,60.15,15.19,32.05,100,6,2.24,SE,1608139734
1,Hilo,19.73,-155.09,68.63,88,90,4.7,US,1608139468
2,Airai,-8.93,125.41,61.97,100,96,2.86,TL,1608139735
3,Saint-Pierre,-21.34,55.48,72.73,88,0,10.29,RE,1608139542
4,Castro,-24.79,-50.01,82.13,49,40,4.36,BR,1608139735
5,Port Alfred,-33.59,26.89,70.0,85,0,10.71,ZA,1608139735
6,Busselton,-33.65,115.33,54.0,85,0,14.54,AU,1608139735
7,Hervey Bay,-25.3,152.85,78.01,83,61,4.0,AU,1608139735
8,Machalí,-34.18,-70.67,80.6,30,0,6.02,CL,1608139591
9,Rikitea,-23.12,-134.97,76.91,73,0,10.98,PF,1608139736
10,Porto-Novo,6.5,2.6,84.2,83,20,12.75,BJ,1608139736
11,Hobart,-42.88,147.33,52.45,93,90,2.26,AU,1608139512
12,Bredasdorp,-34.53,20.04,68.0,64,0,4.7,ZA,1608139736
13,Tigil',57.8,158.67,15.85,93,100,9.37,RU,1608139736
14,Tessalit,20.2,1.01,81.81,17,0,7.38,ML,1608139736
15,Hermanus,-34.42,19.23,70.0,69,27,1.99,ZA,1608139736
16,Mataura,-46.19,168.86,46.99,97,100,1.01,NZ,1608139736
17,Ixtapa,20.7,-105.2,75.6,69,5,4.7,MX,1608139737
18,Gigmoto,13.78,124.39,79.34,83,74,13.98,PH,1608139737
19,Port Keats,-14.25,129.55,79.79,72,100,0.6,AU,1608139737
20,Punta Arenas,-53.15,-70.92,53.29,54,75,26.4,CL,1608139737
21,Bluff,-46.6,168.33,46.99,97,91,1.01,NZ,1608139737
22,Lata,40.16,-8.33,52.99,82,40,5.82,PT,1608139737
23,Jamestown,42.1,-79.24,26.69,53,75,13.87,US,1608139688
24,Beloha,-25.17,45.05,76.33,66,5,7.81,MG,1608139737
25,Butaritari,3.07,172.79,80.76,81,81,18.63,KI,1608139738
26,Hasaki,35.73,140.83,27.09,79,20,2.24,JP,1608139738
27,Severo-Kuril'sk,50.68,156.12,27.16,88,19,2.71,RU,1608139738
28,Parabel',58.7,81.48,9.36,95,100,8.1,RU,1608139738
29,East London,-33.02,27.91,69.8,77,20,9.17,ZA,1608139738
30,Bathsheba,13.22,-59.52,86.0,70,40,14.99,BB,1608139738
31,Nikolskoye,59.7,30.79,30.97,98,90,8.95,RU,1608139739
32,Tevaitoa,-16.78,-151.5,80.58,77,81,21.99,PF,1608139739
33,Taoudenni,22.68,-3.98,79.56,15,0,6.6,ML,1608139739
34,Fortuna,40.6,-124.16,55.9,84,98,7.0,US,1608139739
35,Vanino,49.09,140.25,3.47,70,100,15.41,RU,1608139739
36,Khatanga,71.97,102.5,-31.95,81,0,4.63,RU,1608139739
37,Adra,36.75,-3.02,56.7,72,0,3.36,ES,1608139739
38,Bredy,52.42,60.34,17.51,90,100,11.95,RU,1608139739
39,Ushuaia,-54.8,-68.3,48.2,70,75,11.41,AR,1608139583
40,Hithadhoo,-0.6,73.08,82.24,70,16,7.05,MV,1608139740
41,Ubari,26.59,12.78,60.98,32,89,8.81,LY,1608139740
42,Berdigestyakh,62.1,126.7,-30.32,84,60,1.86,RU,1608139740
43,Peniche,39.36,-9.38,55.72,76,34,8.99,PT,1608139725
44,Korla,41.76,86.15,20.86,84,77,2.55,CN,1608139741
45,Lieksa,63.32,30.02,34.65,97,100,7.58,FI,1608139741
46,Sursk,53.08,45.68,14.2,97,71,1.95,RU,1608139741
47,Carnarvon,-24.87,113.63,71.6,83,0,19.46,AU,1608139741
48,Contamana,-7.33,-75.02,94.44,41,53,5.19,PE,1608139741
49,Soe,-9.86,124.28,67.55,100,97,3.4,ID,1608139741
50,Linxia Chengguanzhen,35.6,103.21,20.46,86,100,2.33,CN,1608139742
51,San Jerónimo,-11.95,-75.28,60.44,49,93,5.21,PE,1608139742
52,Port Elizabeth,-33.92,25.57,69.8,73,0,9.17,ZA,1608139742
53,Tezu,27.92,96.17,61.83,32,55,3.65,IN,1608139742
54,Vestmanna,62.16,-7.17,46.4,75,100,17.22,FO,1608139742
55,Cape Town,-33.93,18.42,67.96,68,0,21.92,ZA,1608139694
56,Chui,-33.7,-53.46,72.0,64,50,10.31,UY,1608139742
57,Tiksi,71.69,128.87,-15.92,89,100,4.32,RU,1608139743
58,Loreto,22.27,-101.97,61.72,32,0,10.71,MX,1608139743
59,Geraldton,-28.77,114.6,68.0,82,90,18.34,AU,1608139743
60,Sovetskaya,44.78,41.17,37.62,84,100,6.69,RU,1608139743
61,Dikson,73.51,80.55,-24.59,81,14,7.7,RU,1608139743
62,Barrow,71.29,-156.79,-7.13,88,0,24.2,US,1608139743
63,Iralaya,15.0,-83.23,81.73,77,12,9.08,HN,1608139744
64,Kapaa,22.08,-159.32,71.62,88,90,12.75,US,1608139744
65,Tanout,14.97,8.89,75.6,18,0,9.82,NE,1608139744
66,San Cristobal,7.77,-72.22,78.8,78,75,6.93,VE,1608139744
67,Waseca,44.08,-93.51,27.43,58,1,4.7,US,1608139451
68,Arraial do Cabo,-22.97,-42.03,86.52,70,0,13.87,BR,1608139744
69,Torbay,47.67,-52.73,30.96,68,75,40.26,CA,1608139745
70,Verkh-Usugli,52.7,115.17,-3.89,89,65,4.23,RU,1608139745
71,Mildura,-34.2,142.15,68.97,68,0,4.7,AU,1608139486
72,New Norfolk,-42.78,147.06,51.01,83,100,1.1,AU,1608139745
73,Saskylakh,71.92,114.08,-32.44,83,91,2.37,RU,1608139745
74,Arlit,18.74,7.39,77.58,16,4,4.81,NE,1608139745
75,Ambon City,-3.7,128.18,84.99,80,82,1.01,ID,1608139745
76,Buriti Bravo,-5.84,-43.83,90.66,51,76,2.91,BR,1608139746
77,Tibati,6.47,12.63,85.68,14,73,8.68,CM,1608139746
78,Prabumulih,-3.45,104.25,73.26,97,95,2.1,ID,1608139746
79,Deputatsky,69.3,139.9,-28.55,87,94,0.67,RU,1608139746
80,Albany,42.6,-73.97,17.71,56,75,6.93,US,1608139746
81,Kala Nera,39.31,23.12,50.36,87,75,4.7,GR,1608139746
82,Kalmunai,7.42,81.82,77.59,77,41,1.79,LK,1608139747
83,Luanda,-8.84,13.23,80.6,69,20,11.41,AO,1608139563
84,Cidreira,-30.18,-50.21,75.72,85,52,8.84,BR,1608139747
85,Lagoa,39.05,-27.98,63.9,78,60,25.61,PT,1608139747
86,Guánica,17.97,-66.91,82.96,62,7,3.0,PR,1608139569
87,Thompson,55.74,-97.86,-4.0,83,90,2.24,CA,1608139747
88,Le Pradet,43.11,6.02,54.84,87,20,6.93,FR,1608139747
89,Muros,42.78,-9.06,52.41,84,50,4.68,ES,1608139747
90,Gimbi,9.17,35.83,61.99,34,29,0.72,ET,1608139748
91,Waterford,42.7,-83.4,27.0,68,90,13.87,US,1608139748
92,Vila do Maio,15.13,-23.22,78.8,57,75,21.92,CV,1608139748
93,Norman Wells,65.28,-126.83,-18.4,75,75,14.99,CA,1608139459
94,Vaini,-21.2,-175.2,73.4,88,75,5.82,TO,1608139748
95,Alyangula,-13.85,136.42,78.8,100,100,4.7,AU,1608139748
96,Tuatapere,-46.13,167.68,46.99,97,97,1.01,NZ,1608139748
97,São João da Barra,-21.64,-41.05,86.0,58,0,18.34,BR,1608139748
98,Mar del Plata,-38.0,-57.56,82.4,24,0,13.87,AR,1608139749
99,Wamba,8.93,8.6,85.82,18,94,1.01,NG,1608139749
100,San Francisco Ixhuatan,16.36,-94.48,86.68,47,0,6.22,MX,1608139749
101,Tottori-shi,35.5,134.23,38.23,77,100,19.04,JP,1608139749
102,Manokwari,-0.87,134.08,80.98,75,100,4.05,ID,1608139749
103,Ostrovnoy,68.05,39.51,25.65,91,100,17.38,RU,1608139750
104,Yellowknife,62.46,-114.35,-40.0,65,20,5.82,CA,1608139612
105,Lashio,22.93,97.75,57.9,96,0,1.03,MM,1608139750
106,Yumen,40.28,97.2,11.68,82,56,6.69,CN,1608139750
107,Olafsvik,64.89,-23.71,35.67,84,96,26.55,IS,1608139750
108,Saint Paul Harbor,57.79,-152.41,23.0,85,1,3.36,US,1608139750
109,Vestmannaeyjar,63.44,-20.27,42.8,75,20,2.24,IS,1608139750
110,Tuktoyaktuk,69.45,-133.04,-20.2,75,75,5.82,CA,1608139751
111,Cherskiy,68.75,161.3,-22.79,87,100,2.44,RU,1608139751
112,Padang,-0.95,100.35,76.05,81,100,3.76,ID,1608139499
113,Dolores,-36.31,-57.68,86.92,13,0,6.98,AR,1608139751
114,Provideniya,64.38,-173.3,13.48,94,73,21.03,RU,1608139751
