,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Mujiayingzi,42.12,118.78,7.66,84,0,7.87,CN,1608091722
1,Ponta do Sol,32.67,-17.1,60.28,67,20,1.12,PT,1608091722
2,Camacha,33.08,-16.33,64.4,77,75,17.22,PT,1608091722
3,Kahului,20.89,-156.47,73.56,61,40,18.34,US,1608091722
4,Avarua,-21.21,-159.78,82.4,78,100,11.41,CK,1608091722
5,Okhotsk,59.38,143.3,3.06,86,18,19.75,RU,1608091723
6,Hithadhoo,-0.6,73.08,81.52,71,10,10.47,MV,1608091595
7,Cape Town,-33.93,18.42,60.96,77,0,9.17,ZA,1608091723
8,Hobart,-42.88,147.33,59.45,47,75,12.75,AU,1608091710
9,Were Īlu,10.6,39.43,45.34,49,7,5.93,ET,1608091723
10,Thompson,55.74,-97.86,-14.8,75,90,2.24,CA,1608091723
11,‘Āhuimanu,21.44,-157.84,77.59,65,40,9.17,US,1608091724
12,Richards Bay,-28.78,32.04,72.09,81,70,11.07,ZA,1608091450
13,Albany,42.6,-73.97,21.78,36,100,7.07,US,1608091590
14,Dunedin,-45.87,170.5,62.1,72,97,5.23,NZ,1608091724
15,Kapaa,22.08,-159.32,75.92,78,40,11.41,US,1608091724
16,Mahébourg,-20.41,57.7,78.8,88,75,16.11,MU,1608091724
17,Aripuanã,-9.17,-60.63,72.39,93,33,2.86,BR,1608091653
18,Cidreira,-30.18,-50.21,71.74,92,19,12.15,BR,1608091537
19,Bluff,-46.6,168.33,59.0,92,100,14.0,NZ,1608091725
20,Qaanaaq,77.48,-69.36,1.99,70,0,6.98,GL,1608091725
21,Bloomfield,40.81,-74.19,28.89,46,1,3.36,US,1608091725
22,La Brea,15.8,-85.97,72.07,91,17,2.46,HN,1608091725
23,Mar del Plata,-38.0,-57.56,54.27,62,0,4.7,AR,1608091725
24,Laas,46.62,10.7,37.51,85,100,3.44,IT,1608091725
25,Sioux Lookout,50.1,-91.92,5.0,84,90,3.36,CA,1608091726
26,Bara,10.37,10.73,69.98,23,70,8.61,NG,1608091726
27,New Norfolk,-42.78,147.06,58.19,50,100,1.01,AU,1608091726
28,Ust-Nera,64.57,143.2,-22.74,77,87,4.54,RU,1608091726
29,Nova Olinda do Norte,-3.89,-59.09,72.66,91,98,1.52,BR,1608091726
30,Butaritari,3.07,172.79,82.58,79,74,18.63,KI,1608091726
31,Tabriz,38.08,46.29,41.0,86,90,2.24,IR,1608091726
32,Ushuaia,-54.8,-68.3,39.2,100,75,31.09,AR,1608091727
33,Sept-Îles,50.2,-66.38,13.66,56,64,16.11,CA,1608091727
34,Fonte Boa,-2.5,-66.27,73.0,97,97,1.45,BR,1608091727
35,Gayéri,12.65,0.49,72.75,22,19,7.74,BF,1608091727
36,Codrington,-38.27,141.97,57.87,94,100,16.69,AU,1608091727
37,Cabras,39.93,8.53,53.01,100,82,4.0,IT,1608091727
38,Narsaq,60.92,-46.05,37.4,40,50,32.21,GL,1608091727
